canonical_smiles	molecule_chembl_id	standard_type	standard_value	type	value
CC(=O)OC[C@H]1O[C@@H](N(C(C)=O)C2=NN(C(C)=O)C(c3cc(=O)oc4cc(OCCC(C)C)ccc34)S2)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O	CHEMBL5562309	IC50	220.0	IC50	0.22
COc1cc2ncnc(N[C@H](C)c3cccc4ccccc34)c2cc1OC	CHEMBL5412768	IC50	580.0	IC50	580.0
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCCN/C(=N\C#N)Nc4ccncc4)cc23)c1	CHEMBL4868614	IC50	0.48	IC50	0.48
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCCN/C(=N\C#N)Nc4ccncc4)cc23)c1	CHEMBL4868614	IC50	0.49	IC50	0.49
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	CHEMBL3353410	IC50	3.38	IC50	3.38
O=C(NO)c1sccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1Cl	CHEMBL5542997	IC50	16.2	IC50	16.2
O=C(NO)c1ccsc1Nc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1Cl	CHEMBL5563885	IC50	34.43	IC50	34.43
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	CHEMBL3353410	IC50	0.51	IC50	0.51
O=C(NO)c1sccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1Cl	CHEMBL5542997	IC50	214.2	IC50	214.2
O=C(NO)c1ccsc1Nc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1Cl	CHEMBL5563885	IC50	896.7	IC50	896.7
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	CHEMBL3353410	IC50	0.16	IC50	0.16
O=C(NO)c1sccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1Cl	CHEMBL5542997	IC50	43.95	IC50	43.95
O=C(NO)c1ccsc1Nc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1Cl	CHEMBL5563885	IC50	72.27	IC50	72.27
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	CHEMBL3353410	IC50	52.28	IC50	52.28
O=C(NO)c1sccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1Cl	CHEMBL5542997	IC50	16.06	IC50	16.06
O=C(NO)c1ccsc1Nc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1Cl	CHEMBL5563885	IC50	37.95	IC50	37.95
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	CHEMBL3353410	IC50	157.6	IC50	157.6
O=C(NO)c1sccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1Cl	CHEMBL5542997	IC50	11.81	IC50	11.81
O=C(NO)c1ccsc1Nc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1Cl	CHEMBL5563885	IC50	26.68	IC50	26.68
COc1cc2ncnc(N(Cc3ccc([N+](=O)[O-])cc3)c3ccc(F)c(Cl)c3)c2cc1OCCOCCOCCOCCC(=O)Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O	CHEMBL5419641	IC50	3560.0	IC50	3560.0
C=CC(=O)N1CC(Oc2nn(C(C)(C)C)c3ncnc(N)c23)C1	CHEMBL5556841	IC50	242.0	IC50	242.0
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	CHEMBL3353410	IC50	7.2	IC50	7.2
C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(SC)nc3-c3ccc(F)cc3)ccn2)c1	CHEMBL4098072	IC50	2.7	IC50	2.7
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	CHEMBL3353410	Ki	434.0	Ki(app)	434.0
C=CC(=O)Nc1cc(Nc2nccc(-n3cc(CN(C)C)c(-c4ccccc4)n3)n2)c(OC)cc1N1CCOCC1	CHEMBL4558324	Ki	271.0	Ki(app)	271.0
C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(SC)nc3-c3ccc(F)cc3)ccn2)c1	CHEMBL4098072	Ki	98.9	Ki(app)	98.9
CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1	CHEMBL1173655	Ki	0.65	Ki(app)	0.65
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C	CHEMBL180022	Ki	6.88	Ki(app)	6.88
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1	CHEMBL31965	Ki	8.93	Ki(app)	8.93
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	CHEMBL3353410	Ki	4.47	Ki(app)	4.47
C=CC(=O)Nc1cc(Nc2nccc(-n3cc(CN(C)C)c(-c4ccccc4)n3)n2)c(OC)cc1N1CCOCC1	CHEMBL4558324	Ki	4.68	Ki(app)	4.68
C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(SC)nc3-c3ccc(F)cc3)ccn2)c1	CHEMBL4098072	Ki	1.27	Ki(app)	1.27
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	CHEMBL3353410	Ki	256.0	Ki(app)	256.0
C=CC(=O)Nc1cc(Nc2nccc(-n3cc(CN(C)C)c(-c4ccccc4)n3)n2)c(OC)cc1N1CCOCC1	CHEMBL4558324	Ki	34.0	Ki(app)	34.0
C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(SC)nc3-c3ccc(F)cc3)ccn2)c1	CHEMBL4098072	Ki	224.0	Ki(app)	224.0
